category,create_date,title,country,price,area,state,location,subarea,class,bin_class
cell phones,3/16/15 18:42,AT&amp;T IPhone 5S,US,275,atlanta,GA, (Alpharetta),all atlanta,5s,1
cell phones,3/16/15 19:08,New AT&amp;T iPhone 6 64GB Unopened silver,US,740,atlanta,GA,,all atlanta,6,1
cell phones,3/16/15 19:15,iPhone 5S White 16GB Unlocked,US,315,atlanta,GA," (Monroe, GA)",all atlanta,5s,1
cell phones,3/16/15 19:15,Brand New iPhone 6 for AT&amp;T 16gb,US,550,atlanta,GA, (Lilburn),all atlanta,6,1
cell phones,3/16/15 19:33,"iPhone 5S 32GB AT&amp;T GSM Unlocked, Louis Vuitton Case, Extras",US,500,atlanta,GA, (Gwinnett / Suwanee O+O+O+O+O),all atlanta,5s,1
cell phones,3/16/15 19:35,IPhone 5s brand new 5 days old,US,450,atlanta,GA, (snellville),all atlanta,5s,1
cell phones,3/16/15 19:41,Broken Sprint iPhone 4,US,60,atlanta,GA, (Atlanta),all atlanta,4,1
cell phones,3/16/15 19:42,iPHONE 5s - 16GB - AT&amp;T,US,320,atlanta,GA, (Dunwoody),all atlanta,5s,1
cell phones,3/16/15 19:43,iPhone 6 Gold 16GB Sprint,US,525,atlanta,GA, (Roswell),all atlanta,6,1
cell phones,3/16/15 12:49,IPHONE 5S UNLOCKED,US,280,atlanta,GA,,all atlanta,5s,1
cell phones,3/16/15 12:54,Unlocked iPhone 6plus Verizon 64gb minor crack,US,500,atlanta,GA, (Atlanta),all atlanta,6+,1
cell phones,3/16/15 12:58,IPHONE 6 128 GB / WITH FIRST MONTH FREE/TMOBILE,US,999,atlanta,GA, (WILLIAMSBURG),all atlanta,6,1
cell phones,3/16/15 12:58,Blue iPhone 5c,US,175,atlanta,GA,,all atlanta,5c,1
cell phones,3/16/15 12:59,Iphone 4S Sprint 16GB,US,180,atlanta,GA, (McDonough),all atlanta,4s,1
cell phones,3/16/15 13:01,Iphone 5s trade for galaxy note 3,US,300,atlanta,GA, (Canton),all atlanta,0,0
cell phones,3/16/15 13:03,Apple Iphone 5 In Good condition $175.00,US,175,atlanta,GA, (Austell),all atlanta,5,1
cell phones,3/16/15 13:05,SPACE GREY IPHONE 6 TMOBILE,US,210,atlanta,GA,,all atlanta,6,1
cell phones,3/16/15 13:20,iPhone 5C 8GB Pink GSM Unlocked Used,US,250,atlanta,GA," (Cool Tech Wireless, Norcross)",all atlanta,5c,1
cell phones,3/16/15 13:21,White iPhone 5s for sale AT&amp;T,US,300,atlanta,GA, (cobb county),all atlanta,5s,1
cell phones,3/16/15 13:23,iPhone 6 and iPhone 6 Plus BRAND NEW,US,300,atlanta,GA,,all atlanta,0,0
cell phones,3/16/15 13:27,BRAND NEW T-Mobile / Metro iPhone 5S 16GB - GOLD - CLEAN IMEI,US,400,atlanta,GA, (Atlanta),all atlanta,5s,1
cell phones,3/16/15 13:28,BRAND NEW T-Mobile / Metro iPhone 6 Plus 16GB - Space Grey - CLEAN IME,US,700,atlanta,GA, (Atlanta),all atlanta,6+,1
cell phones,3/16/15 13:30,BRAND NEW Sprint iPhone 5S 16GB - Space Grey - CLEAN ESN,US,350,atlanta,GA, (Atlanta),all atlanta,5s,1
cell phones,3/16/15 0:09,iPhone 5s 32GB AT&amp;T,US,350,atlanta,GA, (Henry County),all atlanta,5s,1
cell phones,3/16/15 0:14,AT&amp;T iPhone 5s,US,350,atlanta,GA, (Alpharetta),all atlanta,5s,1
cell phones,3/16/15 0:33,Iphone 5c pink 16gb by sprint,US,230,atlanta,GA, (doraville),all atlanta,5c,1
cell phones,3/16/15 0:33,iphone 5 whithe 16Gb by sprint,US,190,atlanta,GA, (doraville),all atlanta,5,1
cell phones,3/16/15 0:53,Galaxy Note 3 forsale or trade for Iphone 6 plus,US,300,atlanta,GA," (dallas,Ga)",all atlanta,0,0
cell phones,3/16/15 0:59,Perfect condition AT&amp;T iPhone 5 16gb cell phone,US,250,atlanta,GA, (Marietta),all atlanta,5,1
cell phones,3/16/15 1:31,New iphone 6 16gb white in box,US,525,atlanta,GA, (Atlanta),all atlanta,6,1
cell phones,3/16/15 1:53,Verizon iPhone 5 32GB and Cases,US,275,atlanta,GA, (Smyrna),all atlanta,5,1
cell phones,3/16/15 2:59,iPhone 6 with Sprint 16gb brand new,US,500,atlanta,GA, (inside only no trading cash only),all atlanta,6,1
cell phones,3/16/15 5:43,T-Mobile iPhone 6,US,575,atlanta,GA, (lithonia),all atlanta,6,1
cell phones,3/16/15 6:03,iPhone 5s 64gb of space,US,500,atlanta,GA,,all atlanta,5s,1
cell phones,3/15/15 11:42,iPhone 4 s cheap!!!,US,100,atlanta,GA,,all atlanta,4s,1
cell phones,3/15/15 11:46,For sale or trade sprint iphone 5c 16gb,US,175,atlanta,GA, (Buford Ga),all atlanta,5c,1
cell phones,3/15/15 11:51,**BEAUTIFUL**IPHONE 5-WHITE **,US,150,atlanta,GA,,all atlanta,5,1
cell phones,3/15/15 11:58,"iPhone 6 T-MOBILE BRAND NEW IN BOX , SPACE GREY, 16GB, NEW, CLEAN IMEI",US,575,atlanta,GA," (Stone Mountain, ga)",all atlanta,6,1
cell phones,3/15/15 12:08,Factory unlocked white iphone 4s 16gb,US,180,atlanta,GA, (atlanta-duluth),all atlanta,4s,1
cell phones,3/15/15 12:11,new UNLOCKED iphone 6 black,US,550,atlanta,GA, (atlanta ga),all atlanta,6,1
cell phones,3/15/15 12:14,BRAND NEW Sprint iPhone 5S 16GB - Space Grey - CLEAN ESN,US,350,atlanta,GA, (Atlanta),all atlanta,5s,1
cell phones,3/15/15 12:14,BRAND NEW Sprint iPhone 6 64GB Gold - CLEAN ESN,US,600,atlanta,GA, (Atlanta),all atlanta,6,1
cell phones,3/15/15 12:14,BRAND NEW Sprint iPhone 5S 32GB White - CLEAN ESN,US,450,atlanta,GA, (Atlanta),all atlanta,5s,1
cell phones,3/15/15 12:14,Factory Unlocked iPhone 5s for sale!,US,350,atlanta,GA, (Newnan),all atlanta,5s,1
cell phones,3/15/15 12:15,BRAND NEW AT&amp;T iPhone 6 Plus 64GB Space Grey - CLEAN IMEI,US,750,atlanta,GA, (Atlanta),all atlanta,6+,1
cell phones,3/15/15 12:18,iPhone 5 Unlocked,US,165,atlanta,GA,,all atlanta,5,1
cell phones,3/15/15 12:20,i have two iphone 4 sale 5s &amp; 5,US,325,atlanta,GA, (norcross),all atlanta,0,0
cell phones,3/15/15 12:29,SAMSUNG GALAXY S3 &amp; iPHONE 4 BRAND NEW CONDITION BOTH WORK PERFECT,US,220,atlanta,GA, (Atlanta. TEST BEFORE YOU BUY),all atlanta,0,0
cell phones,3/14/15 14:33,~!~ AT&amp;T CLEAN IEMI IPHONE 5 BUNDLE PACK~!~,US,250,atlanta,GA, (BEAVER RUIN/NORCROSS/GWINNETT/ATLANTA WILL MEET),all atlanta,5,1
cell phones,3/14/15 14:39,REDUCED!!! GOLD iPhone 6 UNLOCKED GSM 16gb,US,500,atlanta,GA, (Atlanta),all atlanta,6,1
cell phones,3/14/15 14:47,iPhone 5 with Otter box case,US,210,atlanta,GA, (Sandy Springs),all atlanta,5,1
cell phones,3/14/15 14:47,Sprint Apple iPhone 5s Gold 16gb,US,250,atlanta,GA, (McDonough),all atlanta,5s,1
cell phones,3/14/15 15:21,Apple iPhone 5 64 GB Unlocked Perfect Condition,US,275,atlanta,GA, (Atlanta - Brookhaven &amp; Sandy Springs),all atlanta,5,1
cell phones,3/14/15 15:41,iPhone 6 64Gb SPRINT CRACKED,US,300,atlanta,GA, (West Atlanta),all atlanta,6,1
cell phones,3/14/15 15:43,Iphone 5 for sale $200,US,200,atlanta,GA, (Kennesaw),all atlanta,5,1
cell phones,3/14/15 15:58,Sprint iPhone 6 $600 best offer,US,600,atlanta,GA,,all atlanta,6,1
cell phones,3/14/15 15:59,iPhone 4s,US,150,atlanta,GA,,all atlanta,4s,1
cell phones,3/14/15 16:05,iPhone 6 T-Mobile,US,500,atlanta,GA, (decatur),all atlanta,6,1
cell phones,3/13/15 19:40,"iPhone 5S 32GB Space Gray, AT&amp;T, Excellent Condition!",US,419,atlanta,GA," (Cool Tech Wireless, Norcross)",all atlanta,5s,1
cell phones,3/13/15 20:01,"iPhone 6 16GB Space Gray, GSM Unlocked, MINT CONDITION! $599.99",US,599,atlanta,GA," (Cool Tech Wireless, Norcross)",all atlanta,6,1
cell phones,3/13/15 20:09,Verizon 16GB iPhone 5s in White,US,200,atlanta,GA, (Carrollton),all atlanta,5s,1
cell phones,3/13/15 20:10,iPhone 5S and iPhone 5 AT&amp;T both 16 GB,US,400,atlanta,GA, (Midtown ATL),all atlanta,5s,1
cell phones,3/13/15 20:18,IPHONE 6 16GB BLACK &amp; GREY NEW IN THE BOX SPRINT CLEAN ESN,US,480,atlanta,GA, (TUCKER),all atlanta,6,1
cell phones,3/13/15 20:22,Iphone 5 Unlocked,US,279,atlanta,GA, (5514 Lawrenceville Hwy),all atlanta,5,1
cell phones,3/13/15 20:35,"iPhone 5S 16GB Gold, GSM Unlocked, Excellent Condition!",US,379,atlanta,GA," (Cool Tech Wireless, Norcross)",all atlanta,5s,1
cell phones,3/13/15 20:38,Cracked Iphone ?,US,80,atlanta,GA, (atlanta ga),all atlanta,0,1
cell phones,3/13/15 20:43,Verizon Factory Unlocked iPhone 5 32GB FS/FT,US,325,atlanta,GA, (Campbellton Road),all atlanta,5,1
cell phones,3/13/15 20:43,VERIZON IPHONE 5 32GB FOR TRADE,US,300,atlanta,GA, (EAST POINT),all atlanta,5,1
cell phones,3/13/15 20:46,IPhone 5,US,200,atlanta,GA, (Ellenwood),all atlanta,5,1
cell phones,3/12/15 23:07,IPHONE 5-S -16GB-USED -T-MOBIL- UNLOCKED BLACK,US,370,atlanta,GA," (Lawrenceville,GA)",all atlanta,5s,1
cell phones,3/12/15 23:33,Sprint iPhone 5 32gb,US,180,atlanta,GA,,all atlanta,5,1
cell phones,3/13/15 0:43,New condition iphone 6,US,575,atlanta,GA, (Tucker),all atlanta,6,1
cell phones,3/13/15 1:48,Iphone 6 AT&amp;T,US,500,atlanta,GA, (Gainesville),all atlanta,6,1
cell phones,3/13/15 2:04,iPhone 4s 64gb,US,200,atlanta,GA, (villa rica),all atlanta,4s,1
cell phones,3/13/15 2:42,iPhone 6 gold unlocked w/Box and everything that comes with it,US,850,atlanta,GA, (Roswell),all atlanta,6,1
cell phones,3/13/15 5:59,iPhone 5c T-Mobile blue,US,175,atlanta,GA,,all atlanta,5c,1
cell phones,3/13/15 8:30,Apple Iphone 5 16gb Black Cricket Wireless,US,225,atlanta,GA, (Midtown),all atlanta,5,1
cell phones,3/13/15 9:06,Unlocked iPhone 5C,US,220,atlanta,GA, (Atlanta),all atlanta,5c,1
cell phones,3/13/15 9:08,LIKE NEW CONDITION ATT IPHONE 6 PLUS 16g FOR SALE!!!,US,600,atlanta,GA, (Atlanta),all atlanta,6+,1
cell phones,3/13/15 9:11,iPhone 5s Verizon 32gb Gold - INCREDIBLE Condition,US,375,atlanta,GA, (Dawsonville),all atlanta,5s,1
cell phones,3/13/15 9:37,White and Gold iPhone 5S (unlock in process),US,400,atlanta,GA,,all atlanta,5s,1
cell phones,3/13/15 9:37,~!~ AT&amp;T PINK IPHONE 5C CLEAN IEMI WITH EXTRAS BUNDLE PACK ~!~,US,250,atlanta,GA, (ATLANTA ALL OVER WILL MEET AT AT&amp;T STORE),all atlanta,5c,1
cell phones,3/13/15 9:54,iPhone 5s 32Gig,US,400,atlanta,GA, (Cumming),all atlanta,5s,1
cell phones,3/13/15 9:58,"iPhone 4s, 8 Gig",US,125,atlanta,GA, (Cumming),all atlanta,4s,1
cell phones,3/13/15 9:59,iPhone 5S SCREEN with 12 MONTH WARRANTY,US,74,atlanta,GA, (ROSWELL),all atlanta,0,0
cell phones,3/11/15 23:10,SPRINT IPHONE 4,US,100,atlanta,GA, (stone mountain/ snellville),all atlanta,4,1
cell phones,3/11/15 23:17,IPhone 4 8gb Sprint,US,65,atlanta,GA," (Decatur, Ga)",all atlanta,4,1
cell phones,3/11/15 23:28,iphone 6 t mobile,US,550,atlanta,GA, (stockbridge),all atlanta,6,1
cell phones,3/11/15 23:49,iPhone 4s,US,130,atlanta,GA," (Ellaville,Ga)",all atlanta,4s,1
cell phones,3/12/15 0:32,WE BVY USED AND NEW IPHONE 6,US,600,atlanta,GA, (Gwinnet Buckhead Atlanta),all atlanta,0,0
cell phones,3/12/15 1:04,IPHONE 5S 200$,US,200,atlanta,GA, (dunwoody),all atlanta,5s,1
cell phones,3/12/15 1:49,iphone 5s,US,250,atlanta,GA, (anywhere),all atlanta,5s,1
cell phones,3/12/15 4:48,iphone 4s 16g black,US,125,atlanta,GA, (Gainesville),all atlanta,4s,1
cell phones,3/12/15 7:52,AT&amp;T iPhone 5s,US,350,atlanta,GA, (Midtown),all atlanta,5s,1
cell phones,3/12/15 8:29,Apple IPhone 5s 16gb GOLD AT&amp;T w/ External Battery Charger Case,US,300,atlanta,GA, (Downtown Atlanta),all atlanta,5s,1
cell phones,3/12/15 8:39,iPHONE 3G 8GB BLACK WITH BOX EXCELLENT CONDITION AT&amp;T,US,75,atlanta,GA, (MIDTOWN ATLANTA),all atlanta,3g,1
cell phones,3/12/15 9:30,IPhone 6 5s Verizon Note 4 WE BVY BUY,US,580,atlanta,GA, (Gwinnet/Buckhead/Atlanta),all atlanta,0,0
cell phones,3/11/15 8:32,Iphone 6 LifeProof Case,US,70,atlanta,GA,,all atlanta,0,0
cell phones,3/11/15 8:35,IPHONE 5C FOR PARTS CHEAPP$$$$$$$,US,70,atlanta,GA, (Conyers),all atlanta,5c,1
cell phones,3/11/15 8:41,iPhone 5 16 Gb,US,225,atlanta,GA, (East Cobb),all atlanta,5,1
cell phones,3/11/15 9:02,"iPhone 5c 32gb Factory unlock, verizon originally, great condition",US,275,atlanta,GA, (norcross),all atlanta,5c,1
cell phones,3/11/15 9:04,iPhone 5c Factory Unlocked white 16gb in great working condition. Clean esn,US,250,atlanta,GA, (norcross),all atlanta,5c,1
cell phones,3/11/15 9:17,iPhone 5s AT&amp;T,US,300,atlanta,GA, (conyers),all atlanta,5s,1
cell phones,3/11/15 9:30,64G gold iPhone 6 (2 weeks old),US,575,atlanta,GA,,all atlanta,6,1
cell phones,3/11/15 9:42,64G iPhone 6 gold (2wks old),US,575,atlanta,GA,,all atlanta,6,1
cell phones,3/11/15 9:48,iphone 4s 16gb,US,120,atlanta,GA,,all atlanta,4s,1
cell phones,3/11/15 10:07,64G gold iPhone 6 (2wks old),US,575,atlanta,GA,,all atlanta,6,1
cell phones,3/11/15 10:09,IPHONE 5S/5S SCREEN $59.99,US,59,atlanta,GA, (SMYRNA),all atlanta,0,0
cell phones,3/10/15 10:14,******************** FLAWLESS SPRINT iPhone 5 16 GB*******************,US,190,atlanta,GA, (Atlanta),all atlanta,5,1
cell phones,3/10/15 10:26,Iphone 6 grey 16gb Sprint,US,420,atlanta,GA, (Lawrenceville),all atlanta,6,1
cell phones,3/10/15 10:26,Unlocked IPhone 6 16GB Gold,US,550,atlanta,GA, (Duluth),all atlanta,6,1
cell phones,3/10/15 10:27,White iPhone 5 16GB Verizon,US,199,atlanta,GA,,all atlanta,5,1
cell phones,3/10/15 10:27,Iphone 4s at&amp;t clean esn,US,125,atlanta,GA, (Riverdale),all atlanta,4s,1
cell phones,3/10/15 10:33,IPhone 5c sprint 16g clean,US,180,atlanta,GA, (Marietta),all atlanta,5c,1
cell phones,3/10/15 10:39,Preowned IPhone 5 32gb SPRINT,US,200,atlanta,GA, (douglasville),all atlanta,5,1
cell phones,3/10/15 10:54,IPHONE 5C- AT&amp;T,US,200,atlanta,GA,,all atlanta,5c,1
cell phones,3/10/15 10:56,"16G IPHONE 5C FOR SALE IN GREEN, ORANGE, WHITE, OR BLUE!!",US,299,atlanta,GA, (SANDY SPRINGS),all atlanta,5c,1
cell phones,3/10/15 11:04,iPhone 5s Space Grey,US,265,atlanta,GA, (North Dekalb),all atlanta,5s,1
cell phones,3/10/15 11:16,iPhone 6 new comes with box,US,500,atlanta,GA, (doraville),all atlanta,6,1
cell phones,3/10/15 11:23,iPhone 5s comes in the box unlocked,US,325,atlanta,GA, (doraville),all atlanta,5s,1
cell phones,3/10/15 11:37,iPhone 6 NEW SEALED 64gb ATT,US,650,atlanta,GA, (atlanta),all atlanta,6,1
cell phones,3/10/15 11:38,Iphone 6 silver tmobile,US,450,atlanta,GA,,all atlanta,6,1
cell phones,3/10/15 12:23,iPhone 5 16gb,US,120,atlanta,GA,,all atlanta,5,1
cell phones,3/9/15 12:25,iPhone 5 Unlocked,US,75,atlanta,GA, (Stone Mountain),all atlanta,5,1
cell phones,3/9/15 12:31,iPhone 5S Unlocked,US,90,atlanta,GA, (Stone Mountain),all atlanta,5s,1
cell phones,3/9/15 12:39,Black Iphone 5s 16gb- Verizon w/Box,US,200,atlanta,GA, (atlanta),all atlanta,5s,1
cell phones,3/9/15 12:41,iphone 5 at&amp;t,US,250,atlanta,GA," (norcross , Ga)",all atlanta,5,1
cell phones,3/9/15 12:41,iphone 5. 16 GB . at&amp;t,US,250,atlanta,GA," (norcross, Ga)",all atlanta,5,1
cell phones,3/9/15 12:43,Iphone 5 16gig AT&amp;T,US,200,atlanta,GA, (Norcross),all atlanta,5,1
cell phones,3/9/15 13:23,BRAND NEW Gold IPHONE 6 16gb TMOBILE! (,US,499,atlanta,GA, (Stone mtn),all atlanta,6,1
cell phones,3/9/15 13:36,Used iPhone 5S 16GB,US,380,atlanta,GA," (Cool Tech Wireless, Norcross)",all atlanta,5s,1
cell phones,3/9/15 13:43,Used iPhone 6 16GB,US,600,atlanta,GA," (Cool Tech Wireless, Norcross)",all atlanta,6,1
cell phones,3/9/15 13:46,Used iPhone 5S 32GB,US,420,atlanta,GA," (Cool Tech Wireless, Norcross)",all atlanta,5s,1
cell phones,3/9/15 14:04,New iPhone 5S Silver White for sale,US,250,atlanta,GA, (Alpharetta),all atlanta,5s,1
cell phones,3/9/15 14:08,Used iPhone 6 64GB Gold,US,650,atlanta,GA," (Cool Tech Wireless, Norcross)",all atlanta,6,1
cell phones,3/9/15 14:08,Used iPhone 6 Plus 128GB,US,850,atlanta,GA," (Cool Tech WIreless, Norcross)",all atlanta,6+,1
cell phones,3/7/15 21:07,iPhone 6 Plus Sprint Brand NEW!!,US,660,atlanta,GA,,all atlanta,6+,1
cell phones,3/7/15 21:19,iPhone 6 Plus 16gb,US,660,atlanta,GA,,all atlanta,6+,1
cell phones,3/7/15 21:58,iPhone 5C,US,250,atlanta,GA,,all atlanta,5c,1
cell phones,3/7/15 22:45,iPhone 4s sale,US,175,atlanta,GA,,all atlanta,4s,1
cell phones,3/8/15 0:47,FACTORY UNLOCKED IPhone 6 64GB silver,US,675,atlanta,GA, (atlanta ga),all atlanta,6,1
cell phones,3/8/15 3:12,iPhone 6 Space grey,US,600,atlanta,GA,,all atlanta,6,1
cell phones,3/8/15 3:16,Factory unlocked Iphone 5 with body cover,US,280,atlanta,GA, (Sandy Springs),all atlanta,5,1
cell phones,3/8/15 8:33,iPhone 6 plus white 64GB Tmobile,US,650,atlanta,GA, (Little Five Points),all atlanta,6+,1
cell phones,3/8/15 9:01,iPhone 5s space grey,US,300,atlanta,GA, (Morrow),all atlanta,5s,1
cell phones,3/8/15 9:12,Like New 64 gig IPhone 5s Verizon,US,350,atlanta,GA, (Powder Springs),all atlanta,5s,1
cell phones,3/8/15 9:17,Att iPhone 6+ 16gb White/Gold,US,575,atlanta,GA,,all atlanta,6+,1
cell phones,3/8/15 9:28,iPhone 5S 32 GB,US,310,atlanta,GA, (Atlanta),all atlanta,5s,1
cell phones,3/8/15 9:34,iPhone 4s w/Verizon NEWLY REDUCED,US,125,atlanta,GA, (Anywhere),all atlanta,4s,1
cell phones,3/8/15 9:53,Verizon Wireless iPhone 4S - Black,US,85,atlanta,GA,,all atlanta,4s,1
cell phones,3/6/15 14:17,NEW IPHONE 5C VERIZON WHITE (FACTORY UNLOKED),US,299,atlanta,GA, (NORCROSS),all atlanta,5c,1
cell phones,3/6/15 14:17,IPHONE 5C SALE STARTING AT 220,US,220,atlanta,GA, (NORCROSS),all atlanta,5c,1
cell phones,3/6/15 14:18,NEW IPHONE 5C VERIZON WHITE,US,299,atlanta,GA, (NORCROSS),all atlanta,5c,1
cell phones,3/6/15 14:18,iphone 5s Space Gray Verizon,US,132,atlanta,GA,,all atlanta,5s,1
cell phones,3/6/15 14:19,APPLE iPhone 4S Unlocked Black 16GB,US,123,atlanta,GA, (atlanta),all atlanta,4s,1
cell phones,3/6/15 14:39,Used iPhone 5C,US,280,atlanta,GA," (Cool Tech Wireless, Norcross)",all atlanta,5c,1
cell phones,3/6/15 14:50,iPhone 6+ Factory Unlocked- Perfect Condition.,US,675,atlanta,GA, (Lagrange),all atlanta,6+,1
cell phones,3/6/15 15:36,iPhone 5 mint condition,US,350,atlanta,GA,,all atlanta,5,1
cell phones,3/6/15 15:42,"New Iphone 6 (4.7) , UNLOCKED FOR ANY CARRIER, SPACE GRAY, BRAND NEW",US,850,atlanta,GA, (DOWNTOWN ATL),all atlanta,6,1
cell phones,3/6/15 15:50,Iphone 4 - 8GB EXCELLENT CONDITION,US,80,atlanta,GA, (Smyrna),all atlanta,4,1
cell phones,3/5/15 9:59,iPhone 5 64GB Unlocked for Sale,US,350,atlanta,GA, (Duluth),all atlanta,5,1
cell phones,3/5/15 10:07,Verizon IPHONE 5c 16GB,US,150,atlanta,GA," (Calhoun,Ga.)",all atlanta,5c,1
cell phones,3/5/15 10:07,iphone 5c 32 GB,US,224,atlanta,GA,,all atlanta,5c,1
cell phones,3/5/15 10:23,Iphone 6plus / gold / 64GB / new &amp; unopened,US,680,atlanta,GA, (Dahlonega),all atlanta,6+,1
cell phones,3/5/15 10:27,iPhone 6 Plus AT&amp;T 16GB Space Grey (with Original Box),US,640,atlanta,GA, (johns creek),all atlanta,6+,1
cell phones,3/5/15 11:00,$550 AT&amp;T brand new iPhone 6,US,550,atlanta,GA, (Atlanta),all atlanta,6,1
cell phones,3/5/15 11:15,Iphone 6 64gb used unlock,US,620,atlanta,GA, (Downtown),all atlanta,6,1
cell phones,3/5/15 11:17,iPhone 5s gold 32g Att - Like New,US,125,atlanta,GA,,all atlanta,5s,1
cell phones,3/5/15 11:18,mutiple colors iphone 5c unlocked,US,300,atlanta,GA, (marietta),all atlanta,5c,1
cell phones,3/5/15 11:22,iPhone 4s,US,80,atlanta,GA, (conyers),all atlanta,4s,1
cell phones,3/5/15 11:56,iPhone 6 plus (in-box/factory unlocked),US,700,atlanta,GA, (Atlanta),all atlanta,6,1
cell phones,3/5/15 11:56,iPhone 6 (in-box/factory unlocked),US,600,atlanta,GA, (Atlanta),all atlanta,6,1
cell phones,3/5/15 11:57,**BRAND NEW 128GB iPhone 6 Plus Gold Sprint CLEAN ESN GUARANTEED**,US,700,atlanta,GA," (Express Electronics, Duluth)",all atlanta,6+,1
cell phones,3/5/15 11:58,Iphone 5C and new screen,US,60,atlanta,GA, (south atlanta),all atlanta,5c,1
cell phones,3/3/15 16:48,LIKE NEW 128GB iPhone 6 Plus Space Gray Verizon CLEAN ESN GUARANTEED,US,840,atlanta,GA," (Express Electronics, Duluth)",all atlanta,6+,1
cell phones,3/3/15 17:15,iPhone 5c 16 GB sprint,US,200,atlanta,GA, (dekalb),all atlanta,5c,1
cell phones,3/3/15 17:28,Used Verizon iPhone 4s Black,US,140,atlanta,GA, (Midtown),all atlanta,4s,1
cell phones,3/3/15 17:31,Used Verizon iPhone 4 *black*,US,70,atlanta,GA, (Midtown/buckhead),all atlanta,4,1
cell phones,3/3/15 18:30,Iphone 5 White/Silver 16gig,US,200,atlanta,GA,,all atlanta,5,1
cell phones,3/3/15 19:02,iPhone 4 model MD200LL/A SPRINT,US,75,atlanta,GA, (Jonesboro),all atlanta,4,1
cell phones,3/3/15 19:27,**EXCELLENT 32GB iPhone 4S Black AT&amp;T CLEAN IMEI GUARANTEED**,US,190,atlanta,GA," (Express Electronics, Duluth)",all atlanta,4s,1
cell phones,3/3/15 19:54,Sprint iPhone 5s,US,250,atlanta,GA, (Lawrenceville),all atlanta,5s,1
cell phones,3/3/15 19:54,black iPhone 4 AT&amp;T,US,120,atlanta,GA, (carrollton),all atlanta,4,1
